title,normal_price,label,image_url
Indomaret Kapas Kecantikan 35G,Rp 7.400,kecantikan,https://assets.klikindomaret.com/products/20000071/20000071_thumb.jpg
Lifebuoy Shampoo Strong & Shiny 340Ml,Rp 30.900,kecantikan,https://assets.klikindomaret.com/products/20028002/20028002_thumb.jpg
Lifebuoy Shampoo Strong & Shiny 170Ml,Rp 18.900,kecantikan,https://assets.klikindomaret.com/products/20028001/20028001_thumb.jpg
Emeron Shampoo Nutritive Black & Shine 170mL,Rp 16.100,kecantikan,https://assets.klikindomaret.com/products/10003336/10003336_thumb.jpg
Emeron Shampoo Nutritive Hair Fall Control 170mL,Rp 16.100,kecantikan,https://assets.klikindomaret.com/products/10003337/10003337_thumb.jpg
Selection Kapas Kecantikan 75G,Rp 13.800,kecantikan,https://assets.klikindomaret.com/products/10006957/10006957_thumb.jpg
Indomaret Facial Cotton 50G,Rp 10.500,kecantikan,https://assets.klikindomaret.com/products/20131668/20131668_thumb.jpg
Pantene Shampoo Pro-V Silky Smooth Care 160mL,Rp 31.500,kecantikan,https://assets.klikindomaret.com/products/20038770/20038770_thumb.jpg
Rejoice Shampoo Anti Ketombe 3In1 340Ml,Rp 56.100,kecantikan,https://assets.klikindomaret.com/products/20053103/20053103_thumb.jpg
Rejoice Shampoo Rich 150Ml,Rp 29.100,kecantikan,https://assets.klikindomaret.com/products/10019725/10019725_thumb.jpg
Rejoice Shampoo Rich 340Ml,Rp 56.100,kecantikan,https://assets.klikindomaret.com/products/20023627/20023627_thumb.jpg
Selection Kapas Kecantikan 175'S,Rp 20.200,kecantikan,https://assets.klikindomaret.com/products/20033504/20033504_thumb.jpg
Selection Kapas Kecantikan 50G,Rp 10.500,kecantikan,https://assets.klikindomaret.com/products/10006955/10006955_thumb.jpg
Selection Kapas Special Tipis 60G,Rp 16.700,kecantikan,https://assets.klikindomaret.com/products/20114622/20114622_thumb.jpg
Selection Round Kapas 80'S,Rp 18.200,kecantikan,https://assets.klikindomaret.com/products/20099791/20099791_thumb.jpg
Silcot Maximizer Cotton 40'S,Rp 24.000,kecantikan,https://assets.klikindomaret.com/products/20096479/20096479_thumb.jpg
Indomaret Body Wash Violet Lily 450Ml,Rp 18.000,kecantikan,https://assets.klikindomaret.com/products/20092889/20092889_thumb.jpg
Azzura Compact Powder 01 Light Beige 14g,Rp 21.300,kecantikan,https://assets.klikindomaret.com/products/20117192/20117192_thumb.jpg
Azzura Compact Powder 02 Natural 14g,Rp 21.300,kecantikan,https://assets.klikindomaret.com/products/20117193/20117193_thumb.jpg
Azzura Compact Powder 03 Ivory 14g,Rp 21.300,kecantikan,https://assets.klikindomaret.com/products/20117194/20117194_thumb.jpg
Azzura Loose Powder 03 Ivory 30g,Rp 20.700,kecantikan,https://assets.klikindomaret.com/products/20117198/20117198_thumb.jpg
Azzura Luminous Cushion 01 Light Beige 15g,Rp 76.920,kecantikan,https://assets.klikindomaret.com/products/20117188/20117188_thumb.jpg
Azzura Luminous Cushion 02 Natural 15g,Rp 74.520,kecantikan,https://assets.klikindomaret.com/products/20117189/20117189_thumb.jpg
Azzura Luminous Cushion 03 Medium Beige 15g,Rp 76.920,kecantikan,https://assets.klikindomaret.com/products/20117190/20117190_thumb.jpg
Azzura Luminous Cushion 04 Beige 15g,Rp 74.520,kecantikan,https://assets.klikindomaret.com/products/20117191/20117191_thumb.jpg
Azzura Two Way Cake 03 Ivory 12g,Rp 26.700,kecantikan,https://assets.klikindomaret.com/products/20117186/20117186_thumb.jpg
Glow & Lovely Body Wash Multivitamin Niacinamide 400mL,Rp 15.900,kecantikan,https://assets.klikindomaret.com/products/20128060/20128060_thumb.jpg
K Natural White Brightening + Antibacterial Body Wash Jeju Lemon 400mL,Rp 16.500,kecantikan,https://assets.klikindomaret.com/products/20129838/20129838_thumb.jpg
K Natural White Brightening Body Wash Cotton Flowers 400mL,Rp 16.500,kecantikan,https://assets.klikindomaret.com/products/20112622/20112622_thumb.jpg
Lervia Sabun Susu Cair Smoothing Milk 400mL,Rp 16.900,kecantikan,https://assets.klikindomaret.com/products/20129700/20129700_thumb.jpg
Lervia Sabun Susu Cair Smoothing Plus Honey 400mL,Rp 16.900,kecantikan,https://assets.klikindomaret.com/products/20129702/20129702_thumb.jpg
Dove Deeply Nourishing Body Wash Refill 400mL,Rp 22.900,kecantikan,https://assets.klikindomaret.com/products/20044015/20044015_thumb.jpg
