title,normal_price,label,image_url
Indomaret Masker 4D Premium 4'S Abu-Abu,18%,kesehatan,https://assets.klikindomaret.com/products/20111711/20111711_thumb.jpg
Indomaret Masker 4D Premium 4'S Hitam,18%,kesehatan,https://assets.klikindomaret.com/products/20115472/20115472_thumb.jpg
Indomaret Masker 4D Premium 4'S Putih,18%,kesehatan,https://assets.klikindomaret.com/products/20111707/20111707_thumb.jpg
Indomaret Masker Slim 3Ply 5'S Abu Abu,Rp 7.500,kesehatan,https://assets.klikindomaret.com/products/20118217/20118217_thumb.jpg
Indomaret Masker Slim 3Ply 5'S Hitam,Rp 7.500,kesehatan,https://assets.klikindomaret.com/products/20118218/20118218_thumb.jpg
Indomaret Masker Hijab 5'S,Rp 7.500,kesehatan,https://assets.klikindomaret.com/products/20120506/20120506_thumb.jpg
Indomaret Masker Multifungsi 5'S,Rp 7.500,kesehatan,https://assets.klikindomaret.com/products/20117862/20117862_thumb.jpg
Indomaret Masker 3Ply Earlop 5+2'S,Rp 7.500,kesehatan,https://assets.klikindomaret.com/products/20111008/20111008_thumb.jpg
Indomaret Masker Anak isi 5,Rp 8.900,kesehatan,https://assets.klikindomaret.com/products/20122257/20122257_thumb.jpg
Hemaviton Vitamin For Stamina Plus 5'S,25%,kesehatan,https://assets.klikindomaret.com/products/10035326/10035326_thumb.jpg
Hemaviton Vitamin Action 5'S,25%,kesehatan,https://assets.klikindomaret.com/products/10003995/10003995_thumb.jpg
Ovaltine Susu Bubuk 3 in 1 18X33G,15%,kesehatan,https://assets.klikindomaret.com/products/20067924/20067924_thumb.jpg
Anlene Actifit 3x Hi-Calcium Original 230G,13%,kesehatan,https://assets.klikindomaret.com/products/10005434/10005434_thumb.webp
Milo Healthy Drink 3 In 1 Actigen-E 18X34G,12%,kesehatan,https://assets.klikindomaret.com/products/20122462/20122462_thumb.jpg
Entrasol Gold Susu Bubuk Coklat 340G,10%,kesehatan,https://assets.klikindomaret.com/products/20011205/20011205_thumb.jpg
Entrasol Gold Susu Bubuk Vanila 340G,10%,kesehatan,https://assets.klikindomaret.com/products/20011204/20011204_thumb.jpg
Entrasol Platinum Susu Bubuk Vanilla 400g,10%,kesehatan,https://assets.klikindomaret.com/products/20099156/20099156_thumb.jpg
