title,normal_price,label,image_url
Nutrive Minuman Benecol Blackcurrant 100mL,Rp 9.300,minuman,https://assets.klikindomaret.com/products/20038425/20038425_thumb.jpg
Nutrive Minuman Benecol Lychhe 100Ml,Rp 9.300,minuman,https://assets.klikindomaret.com/products/20071510/20071510_thumb.jpg
Nutrive Minuman Benecol Strawberry 100mL,Rp 9.300,minuman,https://assets.klikindomaret.com/products/20055226/20055226_thumb.jpg
Indomaret Minuman Lemon Tea 330Ml,Rp 4.300,minuman,https://assets.klikindomaret.com/products/20077509/20077509_thumb.jpg
Indomaret Minuman Teh Apel 350Ml,Rp 4.200,minuman,https://assets.klikindomaret.com/products/20101897/20101897_thumb.jpg
Indomaret Minuman Teh Hijau Melati 330mL,Rp 4.300,minuman,https://assets.klikindomaret.com/products/20060210/20060210_thumb.jpg
Adem Sari Ching Ku Lemon 320Ml,Rp 6.500,minuman,https://assets.klikindomaret.com/products/20040276/20040276_thumb.jpg
Adem Sari Ching Ku Minuman Penyejuk 350Ml,Rp 6.500,minuman,https://assets.klikindomaret.com/products/20053540/20053540_thumb.jpg
Ultra Teh Kotak Apple 300Ml,Rp 3.100,minuman,https://assets.klikindomaret.com/products/20100143/20100143_thumb.jpg
Ultra Teh Kotak Blackcurrant 300Ml,Rp 3.100,minuman,https://assets.klikindomaret.com/products/20100142/20100142_thumb.jpg
Ultra Teh Kotak Jasmine Tea 300mL,Rp 3.100,minuman,https://assets.klikindomaret.com/products/10036640/10036640_thumb.jpg
Ultra Teh Kotak Less Sugar 300Ml,Rp 3.100,minuman,https://assets.klikindomaret.com/products/20048435/20048435_thumb.jpg
Ultra Teh Kotak Lychee 300mL,Rp 3.100,minuman,https://assets.klikindomaret.com/products/20135647/20135647_thumb.jpg
Teh Gelas Minuman Teh Alami 350Ml,Rp 2.500,minuman,https://assets.klikindomaret.com/products/20053867/20053867_thumb.jpg
Pucuk Harum Minuman Teh Less Sugar 350Ml,Rp 3.000,minuman,https://assets.klikindomaret.com/products/20048155/20048155_thumb.jpg
Pucuk Harum Minuman Teh Melati 350Ml,Rp 3.000,minuman,https://assets.klikindomaret.com/products/20035484/20035484_thumb.jpg
Teh Gelas Minuman Teh Alami Berry Blend 350mL,Rp 3.000,minuman,https://assets.klikindomaret.com/products/20131032/20131032_thumb.jpg
Teh Gelas Minuman Teh Alami Honey Lemon 350mL,Rp 3.000,minuman,https://assets.klikindomaret.com/products/20131030/20131030_thumb.jpg
Sosro Teh Botol (Kotak) 1L,Rp 8.900,minuman,https://assets.klikindomaret.com/products/20019631/20019631_thumb.jpg
Garantea Minuman Teh Hijau Apel 350mL,Rp 3.200,minuman,https://assets.klikindomaret.com/products/20129112/20129112_thumb.jpg
Kaki Tiga Larutan Penyegar Putih 500Ml,Rp 7.500,minuman,https://assets.klikindomaret.com/products/20037153/20037153_thumb.jpg
Entrasol Platinum Susu Bubuk Vanilla 400g,Rp 124.900,minuman,https://assets.klikindomaret.com/products/20099156/20099156_thumb.jpg
Adem Sari Ching Ku Herbal Tea 325Ml,Rp 9.000,minuman,https://assets.klikindomaret.com/products/20083775/20083775_thumb.jpg
Adem Sari Ching Ku Sparkling 320Ml,Rp 9.000,minuman,https://assets.klikindomaret.com/products/20071642/20071642_thumb.jpg
Adem Sari Ching Ku Teh Hijau Madu Lemon Tea 350mL,Rp 9.000,minuman,https://assets.klikindomaret.com/products/20122090/20122090_thumb.jpg
Adem Sari Minuman Penyejuk 8'S,Rp 21.000,minuman,https://assets.klikindomaret.com/products/20129669/20129669_thumb.jpg
Alang Sari Minuman Cool Jeruk Nipis 300mL,Rp 8.400,minuman,https://assets.klikindomaret.com/products/20127835/20127835_thumb.jpg
Bonteh Minuman Teh Manis 330mL,Rp 3.200,minuman,https://assets.klikindomaret.com/products/20129849/20129849_thumb.jpg
Cap Badak Larutan Penyegar Jambu 320mL,Rp 8.000,minuman,https://assets.klikindomaret.com/products/10003842/10003842_thumb.jpg
Entrakid Minuman Serbuk Vanila 185G,Rp 71.400,minuman,https://assets.klikindomaret.com/products/20114175/20114175_thumb.jpg
Entrasol Platinum Susu Bubuk Vanila 800G,Rp 258.800,minuman,https://assets.klikindomaret.com/products/20115488/20115488_thumb.jpg
Espe Larutan Penyegar Orange 320Ml,Rp 8.000,minuman,https://assets.klikindomaret.com/products/10003627/10003627_thumb.jpg
Espe Larutan Penyegar Strawberry 320Ml,Rp 8.000,minuman,https://assets.klikindomaret.com/products/10037437/10037437_thumb.jpg
Frestea Minuman Teh Apel 350Ml,Rp 4.600,minuman,https://assets.klikindomaret.com/products/20072801/20072801_thumb.jpg
Frestea Minuman Teh Apel 500Ml,Rp 6.400,minuman,https://assets.klikindomaret.com/products/20012574/20012574_thumb.jpg
Frestea Minuman Teh Aroma Melati 500Ml,Rp 6.400,minuman,https://assets.klikindomaret.com/products/20012573/20012573_thumb.jpg
Frestea Minuman Teh Green Madu 500Ml,Rp 6.400,minuman,https://assets.klikindomaret.com/products/20036765/20036765_thumb.jpg
Frestea Minuman Teh Markisa 350Ml,Rp 4.600,minuman,https://assets.klikindomaret.com/products/20072802/20072802_thumb.webp
Ichi Ocha Minuman Green Tea 350Ml,Rp 3.200,minuman,https://assets.klikindomaret.com/products/20048934/20048934_thumb.jpg
Ichi Ocha Minuman Teh Madu Lemon 350mL,Rp 3.800,minuman,https://assets.klikindomaret.com/products/20123862/20123862_thumb.jpg
Ichi Ocha Minuman Teh Melati 350Ml,Rp 3.200,minuman,https://assets.klikindomaret.com/products/20060207/20060207_thumb.jpg
Ichitan Thai Milk Green Tea Drink 300mL,Rp 9.100,minuman,https://assets.klikindomaret.com/products/20101102/20101102_thumb.jpg
Ichitan Thai Milk Tea Drink 300mL,Rp 9.100,minuman,https://assets.klikindomaret.com/products/20085054/20085054_thumb.jpg
Javana Minuman Teh Melati 350mL,Rp 3.200,minuman,https://assets.klikindomaret.com/products/20055829/20055829_thumb.jpg
Javana Minuman Teh Melati Gula Batu 350Ml,Rp 3.200,minuman,https://assets.klikindomaret.com/products/20095747/20095747_thumb.jpg
Kaki Tiga Larutan Penyegar Anak Stroberi 238mL,Rp 6.600,minuman,https://assets.klikindomaret.com/products/20045995/20045995_thumb.jpg
Kaki Tiga Larutan Penyegar Cooltopia Lemon Lime 320Ml,Rp 7.700,minuman,https://assets.klikindomaret.com/products/20069199/20069199_thumb.webp
Kaki Tiga Larutan Penyegar Jambu Biji 320Ml,Rp 7.700,minuman,https://assets.klikindomaret.com/products/20037150/20037150_thumb.jpg
Kaki Tiga Larutan Penyegar Leci 320Ml,Rp 7.700,minuman,https://assets.klikindomaret.com/products/20037144/20037144_thumb.jpg
Kiranti Juice Sehat Datang Bulan Orange 150Ml,Rp 7.800,minuman,https://assets.klikindomaret.com/products/20029054/20029054_thumb.jpg
Lasegar Twist Jeruk-Lemon 320mL,Rp 7.600,minuman,https://assets.klikindomaret.com/products/20121348/20121348_thumb.jpg
Lasegar Twist Lemon 320mL,Rp 7.600,minuman,https://assets.klikindomaret.com/products/20121346/20121346_thumb.jpg
M-150 Minuman Energi Can 250mL,Rp 8.200,minuman,https://assets.klikindomaret.com/products/20072287/20072287_thumb.webp
Milkido Susu Cokelat 200ml,Rp 3.300,minuman,https://assets.klikindomaret.com/products/20126817/20126817_thumb.jpg
Milo Healthy Drink Polybag Activ-Go 10x34G,Rp 39.200,minuman,https://assets.klikindomaret.com/products/20087095/20087095_thumb.jpg
Nu Minuman Choco Tea Hazeltea 330mL,Rp 8.300,minuman,https://assets.klikindomaret.com/products/20128233/20128233_thumb.jpg
Nu Minuman Green Tea Honey 330Ml,Rp 4.900,minuman,https://assets.klikindomaret.com/products/20018904/20018904_thumb.jpg
Nu Minuman Green Tea Honey 450mL,Rp 7.000,minuman,https://assets.klikindomaret.com/products/20003786/20003786_thumb.jpg
Nu Minuman Green Tea Original 330Ml,Rp 4.900,minuman,https://assets.klikindomaret.com/products/20018905/20018905_thumb.jpg
Nu Minuman Green Tea Original 450Ml,Rp 7.000,minuman,https://assets.klikindomaret.com/products/20003784/20003784_thumb.jpg
Nu Minuman Milk Tea 330Ml,Rp 8.100,minuman,https://assets.klikindomaret.com/products/20040383/20040383_thumb.jpg
